country,year,electricity-only emissions incl autoprod
NL,2010,45.15115900368422
NL,2011,41.5313880324425
NL,2012,38.76757889270586
NL,2013,38.92414155225166
NL,2014,42.3824983081992
NL,2015,48.092726928478626
NL,2016,47.81599060774537
NL,2017,44.77826008323493
NL,2018,42.06330802595056
NO,1990,0.4064681892557264
NO,1991,0.4462408223400124
NO,1992,0.43026109249316313
NO,1993,0.44530796831144587
NO,1994,0.49114875036808886
NO,1995,0.49161231453682586
NO,1996,0.5795452695790818
NO,1997,0.5258682748796446
NO,1998,0.5605644837180745
NO,1999,0.5433464913553145
NO,2000,0.4981815553879766
NO,2001,0.5376274656560351
NO,2002,0.5785069051908374
NO,2003,0.7305408025048662
NO,2004,0.623653220007951
NO,2005,0.6019034428628616
NO,2006,0.6161704634444539
NO,2007,0.9396903489301968
NO,2008,0.7870451744014604
NO,2009,2.013614340518603
NO,2010,2.3748266423868243
NO,2011,2.1628143270318
NO,2012,1.6651820326953055
NO,2013,1.6623446681869922
NO,2014,1.6576607452705288
NO,2015,1.6577448653472697
NO,2016,1.6305170973310132
NO,2017,1.7582017836987858
NO,2018,1.705726282148479
PL,1990,165.8467651211557
PL,1991,163.4489259948254
PL,1992,158.91727614122982
PL,1993,154.96787335649424
PL,1994,151.4448727413904
PL,1995,150.48154820902306
PL,1996,157.836278888252
PL,1997,153.41971359417172
PL,1998,147.75966385467677
PL,1999,144.53108106129994
PL,2000,143.8879034525417
PL,2001,144.8803863646436
PL,2002,140.80175101184972
PL,2003,146.90890289393775
PL,2004,147.52111346196168
PL,2005,147.0240227326776
PL,2006,152.78181721192414
PL,2007,148.61227753746584
PL,2008,144.2936681179103
PL,2009,138.67009591346215
PL,2010,143.63287066891914
PL,2011,146.04617520133573
PL,2012,141.469627328465
PL,2013,143.00192351345248
PL,2014,135.5857156889175
PL,2015,136.26625412402728
PL,2016,136.08639914102787
PL,2017,137.03690043525856
PL,2018,135.7939023414831
PT,1990,14.266274052274637
PT,1991,15.104791271247237
PT,1992,18.003866216615744
PT,1993,15.989427766679057
PT,1994,14.656189477122988
PT,1995,17.249778001966284
PT,1996,13.307209480979992
PT,1997,13.908026903819566
PT,1998,16.309572850301223
PT,1999,22.350727596109117
PT,2000,18.74532092526216
PT,2001,19.06812231408943
PT,2002,22.2284803462256
PT,2003,17.7462454249845
PT,2004,19.042536146394834
PT,2005,21.91784956641327
PT,2006,18.991605543315824
PT,2007,16.480308514862763
PT,2008,15.87543279822899
PT,2009,16.205455603280203
PT,2010,11.237188890010557
PT,2011,13.277806343909576
PT,2012,14.069881776150217
PT,2013,11.487258011876976
PT,2014,11.44479870700876
PT,2015,14.91329278733747
PT,2016,14.03524353182118
PT,2017,17.18346178443094
PT,2018,14.592037958711629
RO,1990,47.23007951389467
RO,1991,47.59769634784212
RO,1992,27.645330520113603
RO,1993,25.958675163144132
RO,1994,32.8672054932581
RO,1995,34.49773372144142
RO,1996,38.706908040025276
RO,1997,32.19305831369399
RO,1998,26.063521047131875
RO,1999,23.821227041394096
RO,2000,26.182024844692055
RO,2001,27.570751130943975
RO,2002,26.70622888867013
RO,2003,29.51863744586113
RO,2004,26.62453235925008
RO,2005,26.650113548597506
RO,2006,29.51404747567767
RO,2007,34.78547880263791
RO,2008,33.96670612195608
RO,2009,27.832651517898274
RO,2010,25.17088436803099
RO,2011,29.00621854810985
RO,2012,26.52521177542378
RO,2013,21.00863776744791
RO,2014,21.622938764333536
RO,2015,21.96527866615645
RO,2016,19.500171210502465
RO,2017,19.733924268899766
RO,2018,18.081257023260445
SE,1990,7.438476394091664
SE,1991,8.267926497288638
SE,1992,8.563355368041082
SE,1993,8.58619604346312
SE,1994,9.04657507330635
SE,1995,8.223201863596337
SE,1996,12.244914186918379
SE,1997,7.969489219438171
SE,1998,8.869252701283072
SE,1999,7.277029615363534
SE,2000,5.835452478903235
SE,2001,7.1316444458027535
SE,2002,7.975469947042486
SE,2003,8.986016339567948
SE,2004,8.07246516469785
SE,2005,7.249512071806882
SE,2006,7.30194851588387
SE,2007,7.069481414179494
SE,2008,6.688606615766214
SE,2009,6.978401992204862
SE,2010,8.925370851164644
SE,2011,7.150321853148746
SE,2012,6.6325785394887795
SE,2013,6.399528779127415
SE,2014,5.42635385782043
SE,2015,5.386028174431483
SE,2016,5.751063202676627
SE,2017,5.803841585078506
SE,2018,5.8972537413446835
SI,1990,5.77968484607583
SI,1991,4.996426378852541
SI,1992,5.4537170928351495
SI,1993,5.270105975017267
SI,1994,5.136817958432784
SI,1995,5.283818304430122
SI,1996,4.901613229444263
SI,1997,5.350303659185487
SI,1998,5.546903010924034
SI,1999,4.922838220764617
SI,2000,5.219652945885811
SI,2001,5.922776834481991
SI,2002,6.194385344791328
SI,2003,5.90097966056812
SI,2004,6.044519861080357
SI,2005,6.064310924374861
SI,2006,6.109529091071894
SI,2007,6.3391510618130615
SI,2008,6.114698084434417
SI,2009,5.827690176237688
SI,2010,5.913713083556731
SI,2011,5.962552800629178
SI,2012,5.666510404042623
SI,2013,5.394684524068031
SI,2014,4.190328940429908
SI,2015,4.238846823233753
SI,2016,4.587748164920576
SI,2017,4.5804532102220925
SI,2018,4.456933483956455
SK,1990,13.156781965160917
SK,1991,11.023353510133928
SK,1992,9.168809962190762
SK,1993,8.773897712677574
SK,1994,7.927344642654175
SK,1995,7.599144289380133
SK,1996,7.456217394409072
SK,1997,7.379105152760454
SK,1998,7.363479430298391
SK,1999,7.807733918312366
SK,2000,8.286340820572054
SK,2001,8.712654615905347
SK,2002,8.225341668224578
SK,2003,8.634280715349242
SK,2004,8.566604909764626
SK,2005,7.76682527306077
SK,2006,7.288269488335157
SK,2007,6.654611277552795
SK,2008,6.8299530633059895
SK,2009,5.846767382683024
SK,2010,5.5174025284142845
SK,2011,5.721104988387705
SK,2012,5.458902791908431
SK,2013,5.019206253059465
SK,2014,4.239927903368624
SK,2015,4.428590684147974
SK,2016,4.286979287406157
SK,2017,4.3296148825083245
SK,2018,4.258315156957297
